date,Adj Close
1/11/2013 16:00,59.93
1/18/2013 16:00:00,60.73
1/25/2013 16:00:00,61.48
2/01/2013 16:00,62.63
2/08/2013 16:00,63.24
2/15/2013 16:00:00,64.02
2/22/2013 16:00:00,64.16
3/01/2013 16:00,65.02
3/08/2013 16:00,65.76
3/15/2013 16:00:00,65.7
3/22/2013 16:00:00,65.01
3/28/2013 16:00:00,64.06
4/05/2013 16:00,63.94
4/12/2013 16:00,64
4/19/2013 16:00:00,62.8
4/26/2013 16:00:00,64.98
5/03/2013 16:00,65.55
5/10/2013 16:00,66.35
5/17/2013 16:00:00,66.36
5/24/2013 16:00:00,63.67
5/31/2013 16:00:00,63.37
6/07/2013 16:00,60.91
6/14/2013 16:00:00,61.38
6/21/2013 16:00:00,60.77
6/28/2013 16:00:00,61.7
7/05/2013 16:00,61.77
7/12/2013 16:00,63.52
7/19/2013 16:00:00,63.32
7/26/2013 16:00:00,64.24
8/02/2013 16:00,65.1
8/09/2013 16:00,64.36
8/16/2013 16:00:00,65.18
8/23/2013 16:00:00,65.89
8/30/2013 16:00:00,65.89
9/06/2013 16:00,66.26
9/13/2013 16:00:00,67.42
9/20/2013 16:00:00,68.11
9/27/2013 16:00:00,68.52
10/04/2013 16:00,66.29
10/11/2013 16:00,66.51
10/18/2013 16:00:00,67.69
10/25/2013 16:00:00,68.56
11/01/2013 16:00,68.88
11/08/2013 16:00,69.35
11/15/2013 16:00:00,69.08
11/22/2013 16:00:00,68.3
11/29/2013 16:00:00,68.13
12/06/2013 16:00,66.42
12/13/2013 16:00:00,65.68
12/20/2013 16:00:00,67.3
12/27/2013 16:00:00,68.28
1/03/2014 16:00,67.54
1/10/2014 16:00,67.19
1/17/2014 16:00:00,66.96
1/24/2014 16:00:00,67.4
1/31/2014 16:00:00,65.58
2/07/2014 16:00,66.13
2/14/2014 16:00:00,67.61
2/21/2014 16:00:00,68.89
2/28/2014 16:00:00,69.5
3/07/2014 16:00,69.74
3/14/2014 16:00:00,68.23
3/21/2014 16:00:00,68.16
3/28/2014 16:00:00,68.68
4/04/2014 16:00,69.22
4/11/2014 16:00,68.93
4/17/2014 16:00:00,69.22
4/24/2014 16:00:00,70.17
5/02/2014 16:00,69.32
5/09/2014 16:00,69.5
5/16/2014 16:00:00,69.99
5/23/2014 16:00:00,70.36
5/30/2014 16:00:00,70.28
6/06/2014 16:00,69.58
6/13/2014 16:00:00,69.18
6/20/2014 16:00:00,69.21
6/27/2014 16:00:00,69.72
7/04/2014 16:00,70.26
7/11/2014 16:00,69.7
7/18/2014 16:00:00,70.18
7/25/2014 16:00:00,70.92
8/01/2014 16:00,70.57
8/08/2014 16:00,69.12
8/15/2014 16:00:00,70.77
8/22/2014 16:00:00,72.02
8/29/2014 16:00:00,71.89
9/05/2014 16:00,71.89
